"Time (s) Run #15","Geiger Counts (counts/sample) Run #15"
1.000,1
2.000,1
3.000,1
4.000,1
5.000,0
6.000,0
7.000,1
8.000,2
9.000,2
10.000,4
11.000,5
12.000,0
13.000,3
14.000,2
15.000,3
16.000,2
17.000,3
18.000,3
19.000,2
20.000,4
21.000,1
22.000,3
23.000,2
24.000,0
25.000,2
26.000,0
27.000,2
28.000,0
29.000,1
30.000,0
31.000,2
32.000,0
33.000,3
34.000,0
35.000,3
36.000,2
37.000,1
38.000,3
39.000,2
40.000,0
41.000,3
42.000,3
43.000,4
44.000,3
45.000,0
46.000,2
47.000,2
48.000,3
49.000,3
50.000,2
51.000,3
52.000,1
53.000,3
54.000,2
55.000,4
56.000,1
57.000,2
58.000,3
59.000,2
60.000,2
61.000,1
62.000,1
63.000,2
64.000,3
65.000,1
66.000,4
67.000,2
68.000,2
69.000,3
70.000,2
71.000,3
72.000,4
73.000,1
74.000,6
75.000,3
76.000,3
77.000,2
78.000,3
79.000,0
80.000,2
81.000,1
82.000,1
83.000,1
84.000,5
85.000,3
86.000,2
87.000,3
88.000,3
89.000,2
90.000,2
91.000,3
92.000,2
93.000,3
94.000,3
95.000,3
96.000,0
97.000,2
98.000,1
99.000,0
100.000,3
101.000,0
102.000,4
103.000,1
104.000,3
105.000,1
106.000,0
107.000,5
108.000,1
109.000,4
110.000,2
111.000,0
112.000,0
113.000,2
114.000,2
115.000,2
116.000,6
117.000,2
118.000,1
119.000,3
120.000,2
