"Time (s) Run #4","Geiger Counts (counts/sample) Run #4"
1.000,17
2.000,23
3.000,20
4.000,19
5.000,11
6.000,11
7.000,12
8.000,17
9.000,32
10.000,16
11.000,19
12.000,11
13.000,26
14.000,18
15.000,13
16.000,12
17.000,23
18.000,16
19.000,16
20.000,16
21.000,12
22.000,15
23.000,17
24.000,15
25.000,18
26.000,9
27.000,28
28.000,20
29.000,18
30.000,23
31.000,22
32.000,17
33.000,21
34.000,17
35.000,26
36.000,15
37.000,21
38.000,23
39.000,22
40.000,24
41.000,21
42.000,14
43.000,13
44.000,20
45.000,17
46.000,15
47.000,24
48.000,18
49.000,19
50.000,20
51.000,15
52.000,16
53.000,17
54.000,14
55.000,16
56.000,23
57.000,14
58.000,31
59.000,18
60.000,16
61.000,13
62.000,17
63.000,24
64.000,23
65.000,13
66.000,18
67.000,18
68.000,23
69.000,15
70.000,17
71.000,16
72.000,17
73.000,20
74.000,17
75.000,14
76.000,19
77.000,14
78.000,20
79.000,22
80.000,14
81.000,21
82.000,18
83.000,24
84.000,15
85.000,13
86.000,18
87.000,20
88.000,14
89.000,13
90.000,19
91.000,13
92.000,15
93.000,20
94.000,23
95.000,24
96.000,18
97.000,19
98.000,29
99.000,14
100.000,14
101.000,22
102.000,14
103.000,22
104.000,14
105.000,16
106.000,13
107.000,25
108.000,17
109.000,26
110.000,25
111.000,21
112.000,25
113.000,14
114.000,20
115.000,18
116.000,22
117.000,21
118.000,12
119.000,13
120.000,6
121.000,23
122.000,19
